epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,159.125,2.80979,0.2171,0.58107,3.21697,0.00333073,0.00333073,0.00333073
2,314.513,2.25445,0.19954,0.64584,3.20399,0.00653212,0.00653212,0.00653212
3,469.178,1.9212,0.39361,0.76146,3.01991,0.0096015,0.0096015,0.0096015
4,623.254,1.74413,0.44789,0.82235,2.99294,0.009406,0.009406,0.009406
5,777.382,1.49294,0.59886,0.91083,2.82052,0.009208,0.009208,0.009208
6,931.493,1.28724,0.58814,0.92018,2.82579,0.00901,0.00901,0.00901
7,1085.82,1.13999,0.74299,0.96784,2.71266,0.008812,0.008812,0.008812
8,1240.59,1.03435,0.75051,0.94413,2.68024,0.008614,0.008614,0.008614
9,1395.42,0.92815,0.83694,0.98746,2.61722,0.008416,0.008416,0.008416
10,1550.2,0.85742,0.84629,0.98404,2.59589,0.008218,0.008218,0.008218
11,1704.65,0.783,0.82668,0.9756,2.60612,0.00802,0.00802,0.00802
12,1859.34,0.75196,0.86819,0.98746,2.57511,0.007822,0.007822,0.007822
13,2014.04,0.71226,0.87868,0.98997,2.55385,0.007624,0.007624,0.007624
14,2169.22,0.66833,0.86933,0.98974,2.56082,0.007426,0.007426,0.007426
15,2324.39,0.63769,0.91106,0.99179,2.52559,0.007228,0.007228,0.007228
16,2479.15,0.58523,0.90125,0.99316,2.52659,0.00703,0.00703,0.00703
17,2636.24,0.58358,0.91106,0.99544,2.52768,0.006832,0.006832,0.006832
18,2790.71,0.54611,0.92474,0.99384,2.50052,0.006634,0.006634,0.006634
19,2945.03,0.54345,0.9106,0.99498,2.51768,0.006436,0.006436,0.006436
20,3099.8,0.51512,0.92429,0.99498,2.49611,0.006238,0.006238,0.006238
21,3254.05,0.48896,0.93865,0.99681,2.48578,0.00604,0.00604,0.00604
22,3408.57,0.48342,0.93911,0.99726,2.48396,0.005842,0.005842,0.005842
23,3563.1,0.44976,0.94048,0.99749,2.47924,0.005644,0.005644,0.005644
24,3717.68,0.43859,0.93934,0.99658,2.47682,0.005446,0.005446,0.005446
25,3872.14,0.4325,0.94481,0.99749,2.47482,0.005248,0.005248,0.005248
26,4026.7,0.43448,0.94664,0.99726,2.46784,0.00505,0.00505,0.00505
27,4181.05,0.40841,0.94778,0.99818,2.46773,0.004852,0.004852,0.004852
28,4335.13,0.40515,0.95462,0.99818,2.4607,0.004654,0.004654,0.004654
29,4489.4,0.38934,0.95348,0.99795,2.45944,0.004456,0.004456,0.004456
30,4643.69,0.37908,0.95393,0.99749,2.46061,0.004258,0.004258,0.004258
31,4798.18,0.36524,0.95143,0.99772,2.4588,0.00406,0.00406,0.00406
32,4952.81,0.3403,0.95758,0.99795,2.45355,0.003862,0.003862,0.003862
33,5107.56,0.32951,0.96032,0.99772,2.45236,0.003664,0.003664,0.003664
34,5262,0.32826,0.96009,0.99795,2.45102,0.003466,0.003466,0.003466
35,5416.77,0.3243,0.96214,0.99795,2.44942,0.003268,0.003268,0.003268
36,5571.59,0.30761,0.96328,0.99772,2.45451,0.00307,0.00307,0.00307
37,5726.07,0.29303,0.96328,0.99818,2.44678,0.002872,0.002872,0.002872
38,5881.33,0.28439,0.96579,0.99772,2.44558,0.002674,0.002674,0.002674
39,6035.64,0.27991,0.96625,0.99795,2.44472,0.002476,0.002476,0.002476
40,6190.33,0.26963,0.96693,0.99795,2.4434,0.002278,0.002278,0.002278
41,6346.17,0.25385,0.96784,0.99795,2.44251,0.00208,0.00208,0.00208
42,6500.56,0.24897,0.96625,0.99795,2.44163,0.001882,0.001882,0.001882
43,6655.09,0.24765,0.96807,0.9984,2.44107,0.001684,0.001684,0.001684
44,6809.74,0.23398,0.96807,0.9984,2.44008,0.001486,0.001486,0.001486
45,6963.59,0.22338,0.96921,0.9984,2.43958,0.001288,0.001288,0.001288
46,7117.73,0.21471,0.96876,0.9984,2.4391,0.00109,0.00109,0.00109
47,7272.07,0.20781,0.97013,0.9984,2.43879,0.000892,0.000892,0.000892
48,7427.19,0.19326,0.97035,0.9984,2.43819,0.000694,0.000694,0.000694
49,7581.46,0.19269,0.97104,0.9984,2.4406,0.000496,0.000496,0.000496
50,7736.28,0.18903,0.97081,0.9984,2.43753,0.000298,0.000298,0.000298
