epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,157.457,2.84161,0.1943,0.61368,3.20692,0.00333073,0.00333073,0.00333073
2,310.845,2.24843,0.41186,0.77902,3.04852,0.00653212,0.00653212,0.00653212
3,462.479,1.8697,0.48826,0.82919,2.96259,0.0096015,0.0096015,0.0096015
4,613.618,1.65503,0.54093,0.88255,2.88595,0.009406,0.009406,0.009406
5,765.282,1.38403,0.71425,0.94869,2.74189,0.009208,0.009208,0.009208
6,916.288,1.16785,0.72543,0.948,2.73205,0.00901,0.00901,0.00901
7,1067.55,1.00008,0.82919,0.97514,2.61553,0.008812,0.008812,0.008812
8,1218.85,0.8993,0.83124,0.97628,2.61542,0.008614,0.008614,0.008614
9,1370.01,0.78514,0.85245,0.98609,2.59258,0.008416,0.008416,0.008416
10,1521.44,0.70135,0.87252,0.99088,2.56002,0.008218,0.008218,0.008218
11,1672.89,0.65793,0.88347,0.99065,2.55314,0.00802,0.00802,0.00802
12,1824.95,0.61815,0.90604,0.99088,2.52666,0.007822,0.007822,0.007822
13,1976.26,0.57579,0.92566,0.99498,2.5043,0.007624,0.007624,0.007624
14,2128.08,0.55188,0.92018,0.99475,2.50115,0.007426,0.007426,0.007426
15,2279.87,0.52692,0.92223,0.99544,2.49992,0.007228,0.007228,0.007228
16,2431.12,0.46898,0.93273,0.9959,2.48975,0.00703,0.00703,0.00703
17,2582.83,0.46826,0.92885,0.99658,2.48916,0.006832,0.006832,0.006832
18,2734.41,0.42877,0.94481,0.99567,2.47249,0.006634,0.006634,0.006634
19,2886.14,0.41598,0.95143,0.99749,2.46378,0.006436,0.006436,0.006436
20,3037.93,0.40111,0.94892,0.99818,2.4661,0.006238,0.006238,0.006238
21,3189.63,0.37901,0.95576,0.99726,2.45696,0.00604,0.00604,0.00604
22,3341.61,0.37707,0.95804,0.99818,2.45764,0.005842,0.005842,0.005842
23,3493.35,0.34213,0.96078,0.99749,2.45579,0.005644,0.005644,0.005644
24,3644.76,0.33568,0.96032,0.99795,2.44981,0.005446,0.005446,0.005446
25,3796.57,0.32067,0.9626,0.99818,2.44947,0.005248,0.005248,0.005248
26,3948.27,0.31744,0.9642,0.99818,2.44567,0.00505,0.00505,0.00505
27,4100.17,0.30903,0.9642,0.99818,2.44347,0.004852,0.004852,0.004852
28,4251.79,0.30152,0.97127,0.99886,2.43787,0.004654,0.004654,0.004654
29,4403.22,0.28227,0.97172,0.99863,2.43567,0.004456,0.004456,0.004456
30,4554.76,0.26572,0.97309,0.99863,2.43467,0.004258,0.004258,0.004258
31,4706.23,0.26231,0.97309,0.99863,2.43422,0.00406,0.00406,0.00406
32,4857.8,0.2503,0.97309,0.99863,2.43299,0.003862,0.003862,0.003862
33,5009.25,0.23355,0.97446,0.99886,2.43248,0.003664,0.003664,0.003664
34,5160.84,0.23112,0.9756,0.9984,2.43219,0.003466,0.003466,0.003466
35,5312.22,0.22454,0.97583,0.99932,2.43045,0.003268,0.003268,0.003268
36,5463.65,0.2196,0.9756,0.99863,2.43691,0.00307,0.00307,0.00307
37,5615.12,0.20336,0.97514,0.9984,2.42973,0.002872,0.002872,0.002872
38,5766.98,0.19501,0.97651,0.99909,2.42824,0.002674,0.002674,0.002674
39,5918.37,0.18833,0.97674,0.99886,2.42796,0.002476,0.002476,0.002476
40,6069.91,0.18899,0.97651,0.99886,2.42783,0.002278,0.002278,0.002278
41,6221.83,0.17132,0.97537,0.99909,2.42766,0.00208,0.00208,0.00208
42,6373.45,0.16854,0.97605,0.99909,2.42697,0.001882,0.001882,0.001882
43,6524.57,0.16048,0.97628,0.99932,2.42676,0.001684,0.001684,0.001684
44,6676.07,0.15454,0.97651,0.99932,2.42608,0.001486,0.001486,0.001486
45,6827.56,0.14553,0.97719,0.99932,2.42551,0.001288,0.001288,0.001288
46,6978.86,0.14451,0.97765,0.99932,2.42514,0.00109,0.00109,0.00109
47,7130.33,0.13283,0.97719,0.99954,2.425,0.000892,0.000892,0.000892
48,7281.87,0.12711,0.97765,0.99954,2.42468,0.000694,0.000694,0.000694
49,7433.39,0.12232,0.97811,0.99954,2.43107,0.000496,0.000496,0.000496
50,7584.46,0.12394,0.97788,0.99954,2.42449,0.000298,0.000298,0.000298
