epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,92.9512,2.6357,0.35895,0.73957,3.15462,0.00333073,0.00333073,0.00333073
2,185.744,2.03181,0.46682,0.81505,3.04796,0.00653212,0.00653212,0.00653212
3,277.777,1.7627,0.51129,0.85108,2.99683,0.0096015,0.0096015,0.0096015
4,369.877,1.5009,0.72315,0.95257,2.75753,0.009406,0.009406,0.009406
5,461.539,1.21909,0.78221,0.96625,2.68058,0.009208,0.009208,0.009208
6,553.187,1.06354,0.83352,0.9797,2.61949,0.00901,0.00901,0.00901
7,645.27,0.95148,0.80958,0.97948,2.63359,0.008812,0.008812,0.008812
8,738.689,0.88459,0.84857,0.98335,2.59408,0.008614,0.008614,0.008614
9,831.627,0.79362,0.86864,0.98883,2.57995,0.008416,0.008416,0.008416
10,924.506,0.74486,0.88483,0.99225,2.54721,0.008218,0.008218,0.008218
11,1017.76,0.6886,0.89943,0.9927,2.53302,0.00802,0.00802,0.00802
12,1110.94,0.63733,0.90468,0.99179,2.52277,0.007822,0.007822,0.007822
13,1204.45,0.60141,0.90787,0.9943,2.51724,0.007624,0.007624,0.007624
14,1297.79,0.579,0.91585,0.99567,2.50596,0.007426,0.007426,0.007426
15,1390.82,0.54927,0.92588,0.99544,2.49464,0.007228,0.007228,0.007228
16,1484.52,0.5002,0.93546,0.99658,2.48408,0.00703,0.00703,0.00703
17,1577.87,0.48782,0.93592,0.99612,2.4805,0.006832,0.006832,0.006832
18,1671.85,0.45811,0.93729,0.99772,2.47849,0.006634,0.006634,0.006634
19,1765.19,0.45189,0.93888,0.99567,2.47644,0.006436,0.006436,0.006436
20,1858.71,0.42882,0.94276,0.99612,2.46964,0.006238,0.006238,0.006238
21,1952.72,0.41677,0.94869,0.99772,2.46241,0.00604,0.00604,0.00604
22,2046.36,0.39355,0.95165,0.99772,2.45819,0.005842,0.005842,0.005842
23,2140.43,0.35801,0.95257,0.99818,2.46213,0.005644,0.005644,0.005644
24,2234.75,0.36851,0.95462,0.99818,2.4554,0.005446,0.005446,0.005446
25,2329.23,0.35326,0.95918,0.99863,2.4512,0.005248,0.005248,0.005248
26,2423.68,0.33933,0.95986,0.99886,2.44875,0.00505,0.00505,0.00505
27,2518.95,0.32755,0.95758,0.99886,2.44945,0.004852,0.004852,0.004852
28,2613.2,0.32487,0.96192,0.99909,2.44541,0.004654,0.004654,0.004654
29,2708.51,0.30272,0.96237,0.99909,2.44442,0.004456,0.004456,0.004456
30,2802.9,0.29255,0.96648,0.99886,2.44126,0.004258,0.004258,0.004258
31,2897.57,0.28831,0.96625,0.9984,2.44057,0.00406,0.00406,0.00406
32,2993.06,0.26451,0.96625,0.99909,2.43809,0.003862,0.003862,0.003862
33,3087.51,0.25982,0.96602,0.99886,2.43784,0.003664,0.003664,0.003664
34,3183.67,0.24758,0.96648,0.99909,2.43746,0.003466,0.003466,0.003466
35,3279.45,0.25019,0.9683,0.99909,2.4391,0.003268,0.003268,0.003268
36,3375.78,0.23453,0.96693,0.99932,2.44196,0.00307,0.00307,0.00307
37,3471.79,0.2307,0.96967,0.99932,2.43446,0.002872,0.002872,0.002872
38,3566.52,0.21263,0.96921,0.99909,2.43321,0.002674,0.002674,0.002674
39,3661.68,0.2044,0.96967,0.99886,2.43277,0.002476,0.002476,0.002476
40,3757.85,0.19778,0.96967,0.99909,2.43184,0.002278,0.002278,0.002278
41,3856.67,0.18873,0.97058,0.99932,2.4312,0.00208,0.00208,0.00208
42,3952.95,0.17768,0.97195,0.99977,2.4304,0.001882,0.001882,0.001882
43,4049.5,0.17978,0.97355,0.99977,2.42966,0.001684,0.001684,0.001684
44,4145.16,0.16573,0.97355,0.99932,2.42931,0.001486,0.001486,0.001486
45,4240.7,0.16076,0.97377,0.99932,2.42882,0.001288,0.001288,0.001288
46,4337.31,0.15472,0.97423,0.99932,2.42826,0.00109,0.00109,0.00109
47,4432.79,0.14368,0.97377,0.99954,2.42786,0.000892,0.000892,0.000892
48,4529.55,0.13702,0.974,0.99954,2.42756,0.000694,0.000694,0.000694
49,4625.87,0.13036,0.97423,0.99909,2.434,0.000496,0.000496,0.000496
50,4722.62,0.13375,0.97446,0.99909,2.42704,0.000298,0.000298,0.000298
